ts_jst,symbol,side,qty,entry_price,exit_price,realized_pnl,exit_reason,markout_seconds,markout_mid,markout_pnl
2026-03-12T11:02:39.826411+09:00,9984,1,100,3770.0000,3771.0000,100.00,signal_reverse,30,3773.5000,250.00
2026-03-12T11:03:07.760934+09:00,9984,1,150,3771.0000,3773.0000,300.00,abnormal_stale_quote,30,3774.5000,225.00
2026-03-12T11:05:14.379572+09:00,4568,1,100,2832.5000,2832.0000,-50.00,abnormal_stale_quote,30,2835.0000,300.00
2026-03-12T11:05:59.801780+09:00,9984,1,100,3771.0000,3771.0000,0.00,signal_reverse,30,3777.5000,650.00
2026-03-12T11:09:18.486613+09:00,9984,1,150,3773.0000,3772.0000,-150.00,abnormal_stale_quote,30,3772.5000,75.00
2026-03-12T11:10:00.383187+09:00,4568,1,150,2831.5000,2831.0000,-75.00,abnormal_stale_quote,30,2830.5000,-75.00
2026-03-12T11:16:30.154543+09:00,4568,1,100,2833.0000,2832.5000,-50.00,signal_reverse,30,2833.5000,100.00
2026-03-12T11:18:02.466275+09:00,4568,1,150,2840.0000,2838.5000,-225.00,abnormal_stale_quote,30,2838.0000,-75.00
2026-03-12T11:19:16.287292+09:00,9984,1,100,3768.0000,3767.0000,-100.00,signal_reverse,30,3768.5000,150.00
2026-03-12T11:21:21.551598+09:00,9984,1,150,3764.0000,3763.0000,-150.00,abnormal_stale_quote,30,3753.5000,-1425.00
2026-03-12T11:21:32.274248+09:00,9984,1,100,3759.0000,3759.0000,0.00,signal_reverse,30,3754.5000,-450.00
2026-03-12T11:21:38.215657+09:00,9984,1,100,3749.0000,3749.0000,0.00,signal_reverse,30,3753.5000,450.00
2026-03-12T11:24:27.549011+09:00,9984,1,100,3745.0000,3744.0000,-100.00,abnormal_stale_quote,30,3741.5000,-250.00
